student_id,term,term_code,term_gpa,cumulative_gpa,credits_attempted,credits_earned,course_count,major,major_changed_flag,academic_standing,campus
432dd270-784,Fall 2019,201900,2.61,2.61,18,15,6,English,False,good,Main Campus
432dd270-784,Spring 2020,202000,2.93,2.77,11,10,5,English,False,good,Main Campus
432dd270-784,Fall 2020,202010,3.14,2.89,17,14,5,English,False,good,Main Campus
4c001ab8-190,Spring 2021,202100,2.39,2.39,9,7,4,Nursing,False,good,Satellite South
4c001ab8-190,Fall 2021,202110,2.84,2.62,15,14,5,Nursing,False,good,Satellite South
87c7c9a5-c85,Spring 2020,202000,2.65,2.65,14,14,4,Business Administration,False,good,Main Campus
87c7c9a5-c85,Fall 2020,202010,2.76,2.7,14,13,2,Political Science,True,good,Main Campus
4ed2f8d0-f2c,Spring 2020,202000,3.79,3.79,11,10,5,Undeclared,False,good,Satellite North
4ed2f8d0-f2c,Fall 2020,202010,3.19,3.49,17,17,4,Computer Science,True,good,Satellite North
4ed2f8d0-f2c,Spring 2021,202100,2.59,3.19,16,16,4,Computer Science,False,good,Satellite North
e01b3e16-a89,Fall 2019,201900,2.86,2.86,18,17,4,Philosophy,False,good,Downtown Center
e01b3e16-a89,Spring 2020,202000,2.7,2.78,19,19,5,Philosophy,False,good,Downtown Center
ec14f2b8-a4d,Spring 2020,202000,3.17,3.17,17,17,4,History,False,good,Satellite North
ec14f2b8-a4d,Fall 2020,202010,3.3,3.24,13,13,5,History,False,good,Satellite North
1cebbe17-e8f,Spring 2021,202100,3.28,3.28,12,11,3,Engineering,False,good,Satellite South
1cebbe17-e8f,Fall 2021,202110,3.22,3.25,13,12,3,Engineering,False,good,Satellite South
1cebbe17-e8f,Spring 2022,202200,3.2,3.23,12,11,4,Engineering,False,good,Satellite South
45ca467d-232,Fall 2019,201900,3.17,3.17,12,11,4,Chemistry,False,good,Satellite North
45ca467d-232,Spring 2020,202000,3.46,3.32,15,15,4,Chemistry,False,good,Satellite North
45ca467d-232,Fall 2020,202010,2.57,3.07,10,9,3,Chemistry,False,good,Satellite North
45ca467d-232,Spring 2021,202100,3.1,3.08,9,7,5,Chemistry,False,good,Satellite North
6a03d9fa-50b,Spring 2020,202000,2.15,2.15,21,19,4,Chemistry,False,good,Main Campus
6a03d9fa-50b,Fall 2020,202010,3.12,2.64,17,15,5,Chemistry,False,good,Main Campus
b96e177f-9c9,Spring 2021,202100,2.16,2.16,19,19,2,Political Science,False,good,Main Campus
b96e177f-9c9,Fall 2021,202110,2.99,2.58,16,15,5,Political Science,False,good,Main Campus
b96e177f-9c9,Spring 2022,202200,2.76,2.64,9,9,5,Political Science,False,good,Main Campus
a3b7e733-530,Spring 2020,202000,3.0,3.0,13,11,3,Sociology,False,good,Main Campus
a3b7e733-530,Fall 2020,202010,2.81,2.9,17,17,5,Sociology,False,good,Main Campus
bf3f1e9d-48b,Fall 2019,201900,2.23,2.23,17,15,3,Mathematics,False,good,Main Campus
bf3f1e9d-48b,Spring 2020,202000,2.47,2.35,12,11,6,Mathematics,False,good,Main Campus
fb395fba-0ed,Spring 2021,202100,3.16,3.16,13,12,6,Engineering,False,good,Main Campus
fb395fba-0ed,Fall 2021,202110,2.66,2.91,14,11,2,Engineering,False,good,Main Campus
fb395fba-0ed,Spring 2022,202200,2.69,2.84,18,18,6,Engineering,False,good,Main Campus
a034d04e-88e,Fall 2019,201900,1.83,1.83,16,15,3,Psychology,False,probation,Satellite North
a034d04e-88e,Spring 2020,202000,2.85,2.34,12,11,6,Psychology,False,good,Satellite North
99a6ef93-db3,Spring 2021,202100,2.85,2.85,10,10,3,Education,False,good,Main Campus
99a6ef93-db3,Fall 2021,202110,2.18,2.52,8,7,5,Education,False,good,Main Campus
7ba443c0-28e,Spring 2021,202100,2.28,2.28,10,10,4,Education,False,good,Downtown Center
7ba443c0-28e,Fall 2021,202110,3.03,2.66,19,18,4,Education,False,good,Downtown Center
38b0051d-c61,Fall 2019,201900,2.3,2.3,12,10,3,Education,False,good,Main Campus
38b0051d-c61,Spring 2020,202000,3.11,2.7,10,9,5,Education,False,good,Main Campus
0033115e-491,Spring 2021,202100,3.09,3.09,9,9,6,English,False,good,Main Campus
0033115e-491,Fall 2021,202110,3.41,3.25,9,8,5,English,False,good,Main Campus
23e93e1b-8a1,Spring 2020,202000,2.49,2.49,18,18,4,Education,False,good,Main Campus
23e93e1b-8a1,Fall 2020,202010,2.81,2.65,14,14,4,Undeclared,True,good,Main Campus
56ebd83f-c68,Spring 2020,202000,1.83,1.83,17,17,6,History,False,probation,Satellite North
56ebd83f-c68,Fall 2020,202010,2.55,2.19,14,13,5,History,False,good,Satellite North
88d62bf7-8ff,Fall 2019,201900,3.79,3.79,15,15,3,Biology,False,good,Online
88d62bf7-8ff,Spring 2020,202000,3.03,3.41,14,13,4,Biology,False,good,Online
88d62bf7-8ff,Fall 2020,202010,3.36,3.39,15,13,3,Biology,False,good,Online
88d62bf7-8ff,Spring 2021,202100,2.8,3.24,16,16,5,Biology,False,good,Online
88d62bf7-8ff,Fall 2021,202110,3.37,3.27,16,15,5,Biology,False,good,Online
e068aeaf-b23,Fall 2019,201900,3.28,3.28,16,14,4,Biology,False,good,Main Campus
e068aeaf-b23,Spring 2020,202000,2.53,2.9,11,9,5,Music,True,good,Main Campus
34436917-e94,Spring 2021,202100,3.31,3.31,11,11,6,Chemistry,False,good,Main Campus
34436917-e94,Fall 2021,202110,3.26,3.28,17,17,3,Chemistry,False,good,Main Campus
34436917-e94,Spring 2022,202200,2.25,2.94,15,14,5,Chemistry,False,good,Main Campus
24e96b2b-f94,Spring 2020,202000,1.83,1.83,13,12,5,Political Science,False,probation,Main Campus
24e96b2b-f94,Fall 2020,202010,1.76,1.8,14,13,5,Political Science,False,probation,Main Campus
6e8d485e-35b,Spring 2021,202100,2.51,2.51,14,12,4,Undeclared,False,good,Main Campus
6e8d485e-35b,Fall 2021,202110,2.48,2.5,9,6,4,Nursing,True,good,Main Campus
6e8d485e-35b,Spring 2022,202200,2.69,2.56,14,11,6,Nursing,False,good,Main Campus
8d8e154b-e39,Fall 2019,201900,2.42,2.42,8,8,4,Economics,False,good,Main Campus
8d8e154b-e39,Spring 2020,202000,3.17,2.8,13,13,5,Economics,False,good,Main Campus
8d8e154b-e39,Fall 2020,202010,3.4,3.0,11,11,6,Economics,False,good,Main Campus
2eb2907c-481,Spring 2020,202000,2.04,2.04,11,9,4,Mathematics,False,good,Main Campus
2eb2907c-481,Fall 2020,202010,2.4,2.22,10,10,4,Mathematics,False,good,Main Campus
d084b348-f35,Fall 2019,201900,2.45,2.45,12,9,4,Political Science,False,good,Downtown Center
d084b348-f35,Spring 2020,202000,3.05,2.75,17,15,5,Political Science,False,good,Downtown Center
d084b348-f35,Fall 2020,202010,2.92,2.81,20,20,5,Political Science,False,good,Downtown Center
