student_id,event_type,event_date,term,enrollment_status,second_year_ret_flag
432dd270-784,application,2019-02-18,Fall 2019,,
432dd270-784,acceptance,2019-04-07,Fall 2019,,
432dd270-784,enrollment,2019-09-10,Fall 2019,full-time,0.0
432dd270-784,withdrawal,2020-03-05,Spring 2020,not_enrolled,0.0
4c001ab8-190,application,2020-10-24,Fall 2021,,
4c001ab8-190,acceptance,2020-12-24,Fall 2021,,
4c001ab8-190,enrollment,2021-09-08,Fall 2021,full-time,0.0
87c7c9a5-c85,application,2020-01-02,Fall 2020,,
87c7c9a5-c85,acceptance,2020-03-29,Fall 2020,,
87c7c9a5-c85,enrollment,2020-08-26,Fall 2020,full-time,1.0
4ed2f8d0-f2c,application,2019-11-20,Fall 2020,,
4ed2f8d0-f2c,acceptance,2020-02-14,Fall 2020,,
4ed2f8d0-f2c,enrollment,2020-08-31,Fall 2020,full-time,1.0
e01b3e16-a89,application,2019-01-24,Fall 2019,,
e01b3e16-a89,acceptance,2019-03-26,Fall 2019,,
e01b3e16-a89,enrollment,2019-08-15,Fall 2019,full-time,0.0
e01b3e16-a89,withdrawal,2020-01-04,Spring 2020,not_enrolled,0.0
ec14f2b8-a4d,application,2019-12-26,Fall 2020,,
ec14f2b8-a4d,acceptance,2020-03-04,Fall 2020,,
ec14f2b8-a4d,enrollment,2020-09-05,Fall 2020,full-time,1.0
1cebbe17-e8f,application,2020-12-01,Fall 2021,,
1cebbe17-e8f,acceptance,2021-02-09,Fall 2021,,
1cebbe17-e8f,enrollment,2021-08-15,Fall 2021,full-time,0.0
1cebbe17-e8f,withdrawal,2022-06-18,Spring 2022,not_enrolled,0.0
45ca467d-232,application,2018-11-12,Fall 2019,,
45ca467d-232,acceptance,2019-02-02,Fall 2019,,
45ca467d-232,enrollment,2019-08-18,Fall 2019,part-time,1.0
6a03d9fa-50b,application,2020-02-10,Fall 2020,,
6a03d9fa-50b,acceptance,2020-03-20,Fall 2020,,
6a03d9fa-50b,enrollment,2020-08-29,Fall 2020,full-time,0.0
6a03d9fa-50b,withdrawal,2021-04-26,Spring 2021,not_enrolled,0.0
b96e177f-9c9,application,2021-01-25,Fall 2021,,
b96e177f-9c9,acceptance,2021-04-04,Fall 2021,,
b96e177f-9c9,enrollment,2021-09-12,Fall 2021,full-time,1.0
a3b7e733-530,application,2020-03-06,Fall 2020,,
a3b7e733-530,acceptance,2020-05-16,Fall 2020,,
a3b7e733-530,enrollment,2020-09-05,Fall 2020,full-time,1.0
bf3f1e9d-48b,application,2019-01-20,Fall 2019,,
bf3f1e9d-48b,acceptance,2019-03-21,Fall 2019,,
bf3f1e9d-48b,enrollment,2019-09-08,Fall 2019,full-time,1.0
fb395fba-0ed,application,2020-12-06,Fall 2021,,
fb395fba-0ed,acceptance,2021-01-11,Fall 2021,,
fb395fba-0ed,enrollment,2021-08-16,Fall 2021,full-time,1.0
a034d04e-88e,application,2018-11-03,Fall 2019,,
a034d04e-88e,acceptance,2018-12-26,Fall 2019,,
a034d04e-88e,enrollment,2019-08-24,Fall 2019,part-time,0.0
a034d04e-88e,withdrawal,2020-04-02,Spring 2020,not_enrolled,0.0
99a6ef93-db3,application,2021-02-01,Fall 2021,,
99a6ef93-db3,acceptance,2021-03-11,Fall 2021,,
99a6ef93-db3,enrollment,2021-09-12,Fall 2021,full-time,1.0
7ba443c0-28e,application,2021-01-10,Fall 2021,,
7ba443c0-28e,acceptance,2021-03-16,Fall 2021,,
7ba443c0-28e,enrollment,2021-08-26,Fall 2021,full-time,0.0
7ba443c0-28e,withdrawal,2022-02-10,Spring 2022,not_enrolled,0.0
38b0051d-c61,application,2019-01-19,Fall 2019,,
38b0051d-c61,acceptance,2019-03-30,Fall 2019,,
38b0051d-c61,enrollment,2019-09-07,Fall 2019,full-time,0.0
38b0051d-c61,withdrawal,2020-04-20,Spring 2020,not_enrolled,0.0
0033115e-491,application,2020-12-09,Fall 2021,,
0033115e-491,acceptance,2021-01-08,Fall 2021,,
0033115e-491,enrollment,2021-08-26,Fall 2021,full-time,1.0
23e93e1b-8a1,application,2020-02-18,Fall 2020,,
23e93e1b-8a1,acceptance,2020-04-30,Fall 2020,,
23e93e1b-8a1,enrollment,2020-09-07,Fall 2020,full-time,0.0
23e93e1b-8a1,withdrawal,2021-01-16,Spring 2021,not_enrolled,0.0
56ebd83f-c68,application,2020-01-23,Fall 2020,,
56ebd83f-c68,acceptance,2020-03-16,Fall 2020,,
56ebd83f-c68,enrollment,2020-09-06,Fall 2020,full-time,1.0
88d62bf7-8ff,application,2019-03-16,Fall 2019,,
88d62bf7-8ff,acceptance,2019-06-05,Fall 2019,,
88d62bf7-8ff,enrollment,2019-08-22,Fall 2019,full-time,1.0
e068aeaf-b23,application,2018-11-04,Fall 2019,,
e068aeaf-b23,acceptance,2019-01-02,Fall 2019,,
e068aeaf-b23,enrollment,2019-08-28,Fall 2019,full-time,1.0
34436917-e94,application,2020-11-19,Fall 2021,,
34436917-e94,acceptance,2020-12-26,Fall 2021,,
34436917-e94,enrollment,2021-08-20,Fall 2021,full-time,1.0
24e96b2b-f94,application,2020-01-05,Fall 2020,,
24e96b2b-f94,acceptance,2020-03-31,Fall 2020,,
24e96b2b-f94,enrollment,2020-08-20,Fall 2020,full-time,1.0
6e8d485e-35b,application,2020-12-18,Fall 2021,,
6e8d485e-35b,acceptance,2021-03-06,Fall 2021,,
6e8d485e-35b,enrollment,2021-09-06,Fall 2021,full-time,1.0
8d8e154b-e39,application,2019-02-17,Fall 2019,,
